Title,F no.,JH no.,Period,Area,lead white,zinc white,calcium sulphate,calcium carbonate,barium sulphate,(aluminium) silicates,chrome yellow,cadmium yellow,Naples yellow,yellow ochre,chrome orange,vermilion,red ochre,red lead,organic red,emerald green,copper green,chromium oxide green,cobalt blue,ultramarine blue,cerulean blue,Prussian blue,brown ochre,umber,organic brown,bone black,carbon black
Still life with cabbage and clogs ?,1,81,late Nov. - mid Dec. 1881,The Hague,s,s?,,,,,,,s,s,,s,s,,,,,,,,,,,s,,s (no Mg?),s
Still life with straw hat,62,922,late Nov. - mid Dec. 1881,The Hague,x,,,,,,,,x,x?,,x,x,,,,,,,,,x?,x?,x?,,x,
Still life with clogs,63,920,late Nov. - mid Dec. 1881,The Hague,s x,x?,,s,,s,s x 1,s x 8,s x,x?,,s x,s x,,,,,,s 8,,,s x? 1,x?,x,,s,s
Net-menders in the dunes,7,178,Aug. 1882,The Hague,s x,x 9,,,x 9,,x 2,x,s x,x?,,s,s x,,s 13,s x,,,,,s x,x? 2,x?,x,,s (no Mg),
Girl in a wood,8,182,Aug. 1882,The Hague,s x,x 9,,,x 9,,s? x 4,x,s,s x,,s x,s 11 x ,,,s x,,,,,s x,s? x? 4,s x,s x,,s (no Mg),s
Fisherman,5,188,early Aug. 1883,The Hague,s x,s? x,,,x,,x 2,,,x,,s x,x,,,,,,,,,x(?) 2,x?,,,,
Fisherman?s wife,6,189,early Aug. 1883,The Hague,s x,x,,,,,x 2,,,s x,,s x,x,,,,,,,,,s x,x?,,,,
Farm in Loosduinen near The Hague,16,391,around Aug. 1883,The Hague,s,,,,s,,s 5,,,s,,,s,,,,s,,,,,s? 7,,,,s (+Mg),s
Edge of a wood,192,184,Aug. - Sept. 1883,The Hague,s,,,,s,,s 1,,,s?,,s,,,,,,,,,,s 1,,,,,s
Cottages,17,395,mid Sept. - early Nov. 1883,Drenthe,s,s?,s,s,s,,s 3,,,,,,s 12,,s 14,,,,,s,,s 1,,,,s (no Mg?),charcoal
Two women on the heath,19,409,Oct. 1883,Drenthe,s,s,s,,,,s,,,s ,,s,s,,,,,,,s,,s,,,,,
Peat barge with two figures,21,415,Oct. 1883,Drenthe,s x,s x,,,x 10,,s? x1,,,s x,,x,s x,,s? 15,,,x?,,s,,s x 3,x,,s?,,charcoal?
