Catalogue Number,De la Faille number,Title,Date,Area,BaSO4,CaCO3,Gypsum,Lead white,Zinc white,Cobalt,French ultramarine,Prussian blue,Cerulean blue,Indigo,Cobalt violet,Purple lake,Emerald green,Viridian,Chrome yellow or orange,Naples yellow,Zinc yellow,Cadmium yellow or orange,Unidentified yellow lake,Vermilion,Minium,Cochineal lake,Kopps purpurin lake,Redwood lake,Madder lake,Unidentified red lake,Carbon black/brown,Bone black,Charcoal black,Umber,Iron oxide pigments
51,215,Naked girl seated,April-early June 1886,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,208,Self portrait,March-June 1886,Paris,,X,,,,,,,,,,,X,?,,,,,,X,,,,,,,?,,,,X
53,215c,Portrait of a woman,March-June 1886,Paris,X,X,,X,,,X,,,,,,,X,Y,,,,,X,,X,X,,,,,X,,X,X
54,215d,Portrait of a woman,March-June 1886,Paris,X,,,X,,,X,,,,,,X,X,,,,,,X,,,,,,X,X,,,,X
55,232,Path in Montmartre,Late April-early May 1886,Paris,,,,X,X,,X,,X,,,,,X,,X,,,,X,,,,,,,X,,,,X
56,231,View from Vincent?s studio,Early June 1886,Paris,X,,,X,X,,X,,,,,,X,X,Y,X,,,,X,,,,,,,X,X,,,X
57,216a,Venus torso,Mid June 1886,Paris,,,,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,X
58,216b,Venus torso,Mid June 1886,Paris,,,,X,X,,X,X,,,,,,,,,,,,X,,,,,,,,,,,
59,216c,Horse,Mid June 1886,Paris,,,,X,X,,,X,,,,,X,,,,,,,,,,,,,,,,,,X
60,216d,Venus torso,Mid June 1886,Paris,,,,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,
61,216e,Male torso,Mid June 1886,Paris,,,,X,X,,,X,,,,,,,,,,,,X,,,,,,,,,,,
62,216f,Kneeling musculature model,Mid June 1886,Paris,,,,X,X,,X,X,,,,,,,,,,,,X,,,,,,,,,,,X
63,216j,Venus torso,Mid June 1886,Paris,,,,X,X,,X,X,,,,,,,,,,,,X,,,,,,,,,,,
64,229,The hill of Montmartre with a quarry,June-Mid July 1886,Paris,X,,,X,X,,?,,,,,,,X,,,,,,X,,X,X,,,,,X,X,,X
65,230,The hill of Montmartre with a quarry,June-Mid July 1886,Paris,X,,,X,X,,X,,,,,,,X,,X,,Y,,X,,,,,,?,,X,,,X
66,261,View of Paris,Early summer 1886,Paris,,,,X,X,X,X,,,,,,X,X,,,,Y,,X,,,,,,X,,,?,,X
67,281,Nettle in a flowerpot,Late June-mid July 1886,Paris,,,,X,X,X,X,,,,,,,,,,,,,X,,,X,,,,,,,,X
68,243a,Bottle with peonies and blue delphiniums,Late June-mid July 1886,Paris,X,,,X,X,,,X,,,,,,,,,,,,X,,,X,X,,,X,,,X,
69,218,Glass with yellow roses,Late June-mid July 1886,Paris,,,,X,X,,X,X,,,,X Methyl violet,,,,,,,,X,,,X,X,,,X,,,,X
70,234,Vase with Chinese asters and gladioli,August-mid Sept. 1886,Paris,,,,X,X,X,X,,X,,,X unknown,,X,,,,Y,,X,,,X,,,,X,,,,X
71,248a,Vase with gladioli and Chinese asters,August- mid Sept. 1886,Paris,,,,X,X,X,X,?,,,,,,,O & Y,,,Y,,X,,X,X,,,,,,,,
72,256,Shrimps and mussels,Sept.-Nov. 1886,Paris,,,X,X,X,,X,,,,,,,,,,,Y,,X,,,,,,X,,X,,,
73,255,Shoes,Autumn 1886,Paris,,,X,X,X,,X,,,,,,X,X,,,,,,,,,,,,,,,,,X
74,181,Self portrait as a painter,Sept..-Nov. 1886,Paris,,,,X,,,?,,,,,,X,X,,,,,,X,,,,,,,X,,,,
75,180,Self portrait with a pipe,Sept..-Nov. 1886,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,208a,Self portrait with felt hat,Dec. 1886-Jan. 1887,Paris,X,,,,,,X,,X,,,,,X,,,,,,,,,,,,,,X,,,X
77,263a,Self portrait,Dec. 1886-Jan. 1887,Paris,X,,,X,X,,X,,,,,,X,X,,,,,,X,,,,,,X,,X,?,,X
78,331,Shoes,Jan.-Feb. 1887,Paris,X,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,X
79,334,Basket with crocus bulbs,Jan.-Feb. 1887,Paris,,,,X,,,X,,,,,,X,,Y,,,,,X,,,,,,X,,,,,
80,337,Flowerpot with Chinese chives,Jan.-Feb. 1887,Paris,,,,X,X,,,,X,,X,,,,,,,,,,,,,,,,,,,,
81,336,Basket with hyacinth bulbs,Jan.-Feb. 1887,Paris,,,,X,X,,X,,,,,,X,X,Y,,,,,X,,,,,,,X,,,,
82,335,Three books,Jan.-Feb. 1887,Paris,X,,,X,X,X,,,,,,,,,Y,,,,,X,,,,,,,,,,,
83,215b,Portrait of Agostina Segatori,Jan.-Feb. 1887,Paris,X,,,X,X,,X,,,,,,,,,,,,,,X,X,X,,,,,X,,,
84,370,In the caf‚: Agostina Segatori in Le Tambourin,Jan.-March 1887,Paris,X,,,X,X,X,X,,,,,,X,X,O,,,Y,,X,X,X,,,,,X,X,,,
85,216i,Plaster cast of female torso,Feb.-March 1887,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,216g,Plaster cast of  female torso,Feb.-March 1887,Paris,,,,X,X,,X,,,,X,,,X,,,,,,,?,,,,,,,,,,X
87,216h,Plaster cast of  female torso,Feb.-March 1887,Paris,,,,X,X,,X,,X,,X,,,X,,,,,,,,,,,,X,,,,,X
88,338,Dish with citrus fruit,Feb.-March 1887,Paris,X,?,?,X,,,X,,,,,,X,,,,,,,X,,X,,,,,X,,,,X
89,340,Carafe and dish with citrus fruit,Feb.-March 1887,Paris,,,,?,,,,,X,,X,,,,Y or O?,,,Y,,X,,X,X,,,,,,,,
90,339,Caf‚ table with absinth,Feb.-March 1887,Paris,X,,,X,X,,X,,,,X,,,,yellow,,,,X Ca substrate,,,,,,,X,X,,,,
91,266a,Sunset in Montmartre,March-mid April 1887,Paris,X,,,X,X,,X,,,,,,X,X,,,,,,X,X,,,,,,,X,,,
92,347,Impasse des deux frŠres,March-mid April 1887,Paris,X,,,X,X,,X,,,,,,X,X,O,,,,,,,,X,,,,X,,,,
93,346,Montmartre: mills and allotments,March-mid April 1887,Paris,,,,,X,,,,X,,,,,,,,,,,,,X,,,,,,,,,
94,292,Boulevard de Clichy,March-mid April 1887,Paris,,,,X,X,X,,,,X,X,,,,,,,,,,X,X,X,,,,,,,,
95,341,View from Theo?s apartment,End March-mid April 1887,Paris,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
96,369,Portrait of L‚onie Rose Charbuy-Davy,March-April 1887,Paris,X,,,X,X,X,X,,,,,,X,X,Y,,,,,X,,,X,,,,X,,,,
97,267,Self portrait,March-June 1887,Paris,X,,,X,X,,,,,,,,,X,,,,,,,X,,,,,X,,,,,
98,356,Self portrait,March-June 1887,Paris,,,,X,X,,X,,,,,,,X,,,,,,,X,,,,,,,,,,
99,293,Banks of the Seine,May-July 1887,Paris,X,,X,,,,,,,,,,X,,Y,,,,,,,,,,,,,,,,
100,299,Along the Seine,May-June 1887,Paris,X,,,X,X,X,X,,,,,,,,,,,,,X,,X,X,,,,,,,,
